Repositorio,Criado Em,Estrelas,Linguagens,Frequencia issues
codecrafters-io/build-your-own-x,2018-05-09T12:03:18Z,538093,Markdown,13 issues/mês
sindresorhus/awesome,2014-07-11T13:42:37Z,494008,Sem linguagem,1 issues/mês
public-apis/public-apis,2016-03-20T23:49:42Z,455210,"Python, Shell",21 issues/mês
freeCodeCamp/freeCodeCamp,2014-12-24T17:49:19Z,453714,"TypeScript, JavaScript, CSS, Dockerfile, HCL",300 issues/mês
EbookFoundation/free-programming-books,2013-10-11T06:50:37Z,394039,"Python, HTML",11 issues/mês
openclaw/openclaw,2025-11-24T10:16:47Z,385690,"TypeScript, Swift, Kotlin, JavaScript, Shell",Múltiplas issues no mesmo dia
nilbuild/developer-roadmap,2017-03-15T13:45:52Z,364007,"TypeScript, JavaScript",15 issues/mês
donnemartin/system-design-primer,2017-02-26T16:15:28Z,362669,"Python, Shell",23 issues/mês
jwasham/coding-interview-university,2016-06-06T02:34:12Z,358275,Sem linguagem,2 issues/mês
vinta/awesome-python,2014-06-27T21:00:06Z,313060,"Python, HTML, CSS, JavaScript, Makefile",Sem issues
awesome-selfhosted/awesome-selfhosted,2015-06-01T02:33:17Z,311595,Sem linguagem,Sem issues
practical-tutorials/project-based-learning,2017-04-12T05:07:46Z,277572,Python,4 issues/mês
996icu/996.ICU,2019-03-26T07:31:14Z,276589,Sem linguagem,Sem issues
obra/superpowers,2025-10-09T19:45:18Z,269670,"Shell, JavaScript, TypeScript, HTML, Python",75 issues/mês
react/react,2013-05-24T16:15:54Z,247145,"JavaScript, Rust, TypeScript, HTML, CSS",150 issues/mês
torvalds/linux,2011-09-04T22:48:12Z,242311,"C, Assembly, Rust, Shell, Python",Sem issues
affaan-m/ECC,2026-01-18T00:51:51Z,238988,"JavaScript, Rust, Python, Shell, TypeScript",75 issues/mês
trimstray/the-book-of-secret-knowledge,2018-06-23T10:43:14Z,237483,Sem linguagem,Sem issues
NousResearch/hermes-agent,2025-07-22T22:22:28Z,227885,"Python, TypeScript, JavaScript, TeX, Shell",Múltiplas issues no mesmo dia
TheAlgorithms/Python,2016-07-16T09:44:01Z,223597,"Python, Shell, Dockerfile",10 issues/mês
mattpocock/skills,2026-02-03T11:15:53Z,210946,"Shell, JavaScript",300 issues/mês
vuejs/vue,2013-07-29T03:24:51Z,210245,"TypeScript, JavaScript, HTML, CSS, Shell",2 issues/mês
ossu/computer-science,2014-05-04T00:18:39Z,207807,HTML,2 issues/mês
multica-ai/andrej-karpathy-skills,2026-01-27T03:53:13Z,200865,Sem linguagem,Sem issues
n8n-io/n8n,2019-06-22T09:24:21Z,199959,"TypeScript, Vue, JavaScript, SCSS, Python",300 issues/mês
tensorflow/tensorflow,2015-11-07T01:19:20Z,196949,"C++, Python, MLIR, Starlark, HTML",300 issues/mês
trekhleb/javascript-algorithms,2018-03-24T07:47:04Z,196421,JavaScript,0 issues/mês
anomalyco/opencode,2025-04-30T20:08:00Z,195394,"TypeScript, MDX, CSS, HTML, JavaScript",Múltiplas issues no mesmo dia
ultraworkers/claw-code,2026-03-31T08:58:08Z,195021,"Rust, Python, Shell, HTML, Dockerfile",7 issues/mês
DigitalPlatDev/FreeDomain,2024-05-30T13:23:00Z,191958,Sem linguagem,Sem issues
ohmyzsh/ohmyzsh,2009-08-28T18:15:37Z,189095,"Shell, Python, Makefile",12 issues/mês
microsoft/vscode,2015-09-03T20:23:38Z,188543,"TypeScript, CSS, JavaScript, Rust, HTML",Múltiplas issues no mesmo dia
massgravel/Microsoft-Activation-Scripts,2020-01-12T23:03:34Z,186470,"Batchfile, HTML",37 issues/mês
Significant-Gravitas/AutoGPT,2023-03-16T09:21:07Z,186457,"Python, TypeScript, JavaScript, PLpgSQL, Shell",33 issues/mês
jackfrued/Python-100-Days,2018-03-01T16:05:52Z,185027,"Jupyter Notebook, Python, HTML, Java",3 issues/mês
CyC2018/CS-Notes,2018-02-13T14:56:24Z,184983,Sem linguagem,0 issues/mês
getify/You-Dont-Know-JS,2013-11-16T02:37:24Z,184638,Sem linguagem,1 issues/mês
yt-dlp/yt-dlp,2020-10-26T04:22:55Z,183488,"Python, Makefile, Shell, Dockerfile, Batchfile",300 issues/mês
avelino/awesome-go,2014-07-06T13:42:15Z,180605,Go,5 issues/mês
flutter/flutter,2015-03-06T22:54:58Z,178279,"Dart, C++, Objective-C++, Java, Objective-C",Múltiplas issues no mesmo dia
ollama/ollama,2023-06-26T19:39:32Z,178137,"Go, C, TypeScript, C++, CMake",300 issues/mês
github/gitignore,2010-11-08T20:17:14Z,175208,Sem linguagem,Sem issues
twbs/bootstrap,2011-07-29T21:19:00Z,174564,"MDX, JavaScript, Astro, SCSS, CSS",15 issues/mês
microsoft/markitdown,2024-11-13T19:56:40Z,172607,"Python, Dockerfile",21 issues/mês
521xueweihan/HelloGitHub,2016-05-04T06:24:11Z,169999,Python,100 issues/mês
anthropics/skills,2025-09-22T15:53:31Z,167211,"Python, HTML, Shell, JavaScript",27 issues/mês
f/prompts.chat,2022-12-05T13:54:13Z,166922,"HTML, MDX, TypeScript, JavaScript, Shell",3 issues/mês
AUTOMATIC1111/stable-diffusion-webui,2022-08-22T14:05:26Z,164462,"Python, JavaScript, CSS, HTML, Shell",4 issues/mês
firecrawl/firecrawl,2024-04-15T21:02:29Z,164091,"TypeScript, Python, Rust, Java, PHP",150 issues/mês
huggingface/transformers,2018-10-29T13:56:00Z,163502,"Python, Dockerfile, Makefile, Shell, Jsonnet",100 issues/mês
jlevy/the-art-of-command-line,2015-05-20T15:11:03Z,162059,Sem linguagem,0 issues/mês
Snailclimb/JavaGuide,2018-05-07T13:27:00Z,157634,JavaScript,4 issues/mês
langflow-ai/langflow,2023-02-08T22:28:03Z,152982,"Python, TypeScript, JavaScript, CSS, Makefile",100 issues/mês
langgenius/dify,2023-04-12T07:40:24Z,151865,"TypeScript, Python, JavaScript, MDX, CSS",150 issues/mês
open-webui/open-webui,2023-10-06T22:08:27Z,148320,"Python, Svelte, JavaScript, TypeScript, CSS",300 issues/mês
airbnb/javascript,2012-11-01T23:13:50Z,148117,JavaScript,2 issues/mês
Genymobile/scrcpy,2017-11-21T18:00:27Z,147299,"C, Java, Roff, Shell, Meson",60 issues/mês
langchain-ai/langchain,2022-10-17T02:58:36Z,143809,"Python, Makefile, Shell, XSLT, HTML",300 issues/mês
x1xhlol/system-prompts-and-models-of-ai-tools,2025-03-05T16:38:29Z,142683,Sem linguagem,4 issues/mês
vercel/next.js,2016-10-05T23:32:51Z,141707,"JavaScript, TypeScript, Rust, MDX, CSS",Múltiplas issues no mesmo dia
yangshun/tech-interview-handbook,2016-07-05T05:00:48Z,141705,"TypeScript, JavaScript, Python, CSS",1 issues/mês
ytdl-org/youtube-dl,2010-10-31T14:35:07Z,140918,"Python, Shell, Makefile, ActionScript, Batchfile",4 issues/mês
anthropics/claude-code,2025-02-22T17:41:21Z,140820,"Python, Shell, TypeScript, PowerShell, Dockerfile",Múltiplas issues no mesmo dia
msitarzewski/agency-agents,2025-10-13T12:12:29Z,140515,"Shell, Python, PowerShell",9 issues/mês
microsoft/PowerToys,2019-05-01T17:44:02Z,137608,"C, C#, C++, PowerShell, Python",300 issues/mês
clash-verge-rev/clash-verge-rev,2023-11-21T18:24:03Z,136689,"TypeScript, Rust, JavaScript, NSIS, SCSS",100 issues/mês
golang/go,2014-08-19T04:33:40Z,135713,"Go, Assembly, HTML, C, Shell",300 issues/mês
iptv-org/iptv,2018-11-14T22:00:57Z,135515,"TypeScript, JavaScript",Múltiplas issues no mesmo dia
labuladong/fucking-algorithm,2020-02-19T09:01:23Z,135287,Markdown,2 issues/mês
Shubhamsaboo/awesome-llm-apps,2024-04-29T05:30:25Z,131723,"Python, TypeScript, JavaScript, HTML, CSS",20 issues/mês
ripienaar/free-for-dev,2015-03-18T21:06:26Z,131387,HTML,Sem issues
krahets/hello-algo,2022-11-04T11:08:34Z,129311,"Java, Swift, C++, JavaScript, Go",2 issues/mês
excalidraw/excalidraw,2020-01-02T01:04:43Z,129222,"TypeScript, SCSS, MDX, JavaScript, HTML",100 issues/mês
Chalarangelo/30-seconds-of-code,2017-11-29T17:35:03Z,128654,"JavaScript, SCSS, Astro, CSS, Shell",0 issues/mês
garrytan/gstack,2026-03-11T21:22:45Z,127156,"TypeScript, Go Template, Shell, JavaScript, CSS",300 issues/mês
react/react-native,2015-01-09T18:10:16Z,126308,"C++, Kotlin, JavaScript, Objective-C++, Objective-C",75 issues/mês
github/spec-kit,2025-08-21T22:54:31Z,125979,"Python, Shell, PowerShell",60 issues/mês
farion1231/cc-switch,2025-08-04T14:16:16Z,125928,"Rust, TypeScript, HTML, JavaScript, CSS",300 issues/mês
Comfy-Org/ComfyUI,2023-01-17T03:15:56Z,125359,"Python, GLSL, Batchfile, Mako",300 issues/mês
kubernetes/kubernetes,2014-06-06T22:56:04Z,124385,"Go, Shell, PowerShell, Makefile, Dockerfile",300 issues/mês
ggml-org/llama.cpp,2023-03-10T18:58:00Z,123203,"C++, C, Python, Cuda, TypeScript",300 issues/mês
electron/electron,2013-04-12T01:47:36Z,122408,"C++, TypeScript, Objective-C++, JavaScript, Python",75 issues/mês
shadcn-ui/ui,2023-01-04T12:43:27Z,120920,"TypeScript, MDX, CSS, JavaScript, Astro",150 issues/mês
rustdesk/rustdesk,2020-09-28T15:36:08Z,119960,"Rust, Dart, C++, Python, C",60 issues/mês
nodejs/node,2014-11-26T19:57:11Z,118845,"JavaScript, C++, Python, C, HTML",150 issues/mês
justjavac/free-programming-books-zh_CN,2013-11-04T01:59:19Z,118235,Sem linguagem,Sem issues
Hack-with-Github/Awesome-Hacking,2016-03-30T15:47:10Z,117863,Sem linguagem,Sem issues
microsoft/generative-ai-for-beginners,2023-06-19T16:28:59Z,117167,"Jupyter Notebook, Python, JavaScript, TypeScript, Shell",5 issues/mês
godotengine/godot,2014-01-04T16:05:36Z,115410,"C++, C#, Java, C, GLSL",Múltiplas issues no mesmo dia
rust-lang/rust,2010-06-16T20:39:03Z,115383,"Rust, HTML, Shell, C, JavaScript",Múltiplas issues no mesmo dia
nextlevelbuilder/ui-ux-pro-max-skill,2025-11-30T11:36:31Z,114957,"Python, JavaScript, TypeScript, HTML, Shell",10 issues/mês
mrdoob/three.js,2010-03-23T18:58:01Z,114380,"JavaScript, HTML, Roff, CSS",33 issues/mês
2dust/v2rayN,2019-07-30T03:47:24Z,113472,"C#, Shell",150 issues/mês
d3/d3,2010-09-27T17:22:42Z,113424,"Shell, JavaScript",1 issues/mês
