Linguagem,Total de Repositorios,Media PRs,Media Releases,Media Dias Sem Atualizar,Media Frequencia Issues
Python,228,4007,89,110,39.21
TypeScript,174,5319,257,30,57.66
JavaScript,111,2311,114,158,22.26
Sem linguagem,87,1575,5,292,4.65
Go,76,5382,205,57,53.07
Rust,57,5746,171,17,68.58
C++,41,8466,148,72,48.8
Java,41,4974,83,119,25.63
Jupyter Notebook,24,224,0,200,4.27
C,21,1543,71,86,35.03
Shell,20,780,46,133,13.93
Ruby,13,10162,145,149,19.55
HTML,11,505,0,113,1.68
Swift,10,6809,78,9,80.2
Kotlin,9,1182,114,12,18.73
C#,8,5075,157,74,56.51
CSS,8,319,10,426,3.05
Dart,6,9166,54,21,90.0
Vue,6,1044,49,326,5.94
Markdown,5,4056,7,44,5.89
MDX,4,2605,24,42,3.91
Clojure,4,14131,270,5,7.94
PHP,4,14045,537,0,84.94
Vim Script,3,6761,20,29,66.96
Zig,3,5499,14,88,20.93
Dockerfile,2,383,0,403,3.65
Scala,2,5,0,172,9.51
PowerShell,2,792,41,1,39.38
Makefile,2,3010,169,58,1.98
Haskell,2,1073,94,7,32.89
Astro,2,1264,25,0,33.75
TeX,2,19,3,2069,0.2
Batchfile,1,7,31,45,33.33
Blade,1,1710,227,1,0.0
Roff,1,1,0,305,6.25
Assembly,1,0,0,35,0.0
Nunjucks,1,485,0,63,0.37
Julia,1,27797,203,0,150.0
Lua,1,6532,147,3,23.08
Svelte,1,252,0,135,6.25
LLVM,1,97126,159,-1,0.0
V,1,13795,304,0,150.0
Elixir,1,898,12,65,6.0
Objective-C,1,710,40,1309,0.0
