Repositorio,Criado Em,Estrelas,Total de Issues,Issues Fechadas,Percentual de Issues Fechadas
codecrafters-io/build-your-own-x,2018-05-09T12:03:18Z,541194,948,677,71.41
sindresorhus/awesome,2014-07-11T13:42:37Z,497727,368,352,95.65
public-apis/public-apis,2016-03-20T23:49:42Z,465617,940,910,96.81
freeCodeCamp/freeCodeCamp,2014-12-24T17:49:19Z,454327,22064,21899,99.25
EbookFoundation/free-programming-books,2013-10-11T06:50:37Z,394776,1293,1255,97.06
openclaw/openclaw,2025-11-24T10:16:47Z,386787,47589,44094,92.66
nilbuild/developer-roadmap,2017-03-15T13:45:52Z,364928,3185,3185,100.00
donnemartin/system-design-primer,2017-02-26T16:15:28Z,364869,402,127,31.59
jwasham/coding-interview-university,2016-06-06T02:34:12Z,359223,536,455,84.89
vinta/awesome-python,2014-06-27T21:00:06Z,314898,0,0,N/A (sem issues)
awesome-selfhosted/awesome-selfhosted,2015-06-01T02:33:17Z,313690,0,0,N/A (sem issues)
practical-tutorials/project-based-learning,2017-04-12T05:07:46Z,279915,240,88,36.67
996icu/996.ICU,2019-03-26T07:31:14Z,276723,0,0,N/A (sem issues)
obra/superpowers,2025-10-09T19:45:18Z,274081,853,755,88.51
react/react,2013-05-24T16:15:54Z,247418,14623,13801,94.38
torvalds/linux,2011-09-04T22:48:12Z,243303,0,0,N/A (sem issues)
affaan-m/ECC,2026-01-18T00:51:51Z,241115,710,667,93.94
trimstray/the-book-of-secret-knowledge,2018-06-23T10:43:14Z,239154,0,0,N/A (sem issues)
NousResearch/hermes-agent,2025-07-22T22:22:28Z,232934,22612,11298,49.96
TheAlgorithms/Python,2016-07-16T09:44:01Z,223873,1749,1606,91.82
mattpocock/skills,2026-02-03T11:15:53Z,223202,672,308,45.83
vuejs/vue,2013-07-29T03:24:51Z,210236,10034,9670,96.37
ossu/computer-science,2014-05-04T00:18:39Z,208169,675,658,97.48
multica-ai/andrej-karpathy-skills,2026-01-27T03:53:13Z,203862,0,0,N/A (sem issues)
n8n-io/n8n,2019-06-22T09:24:21Z,201186,10040,9701,96.62
anomalyco/opencode,2025-04-30T20:08:00Z,199126,24109,20140,83.54
tensorflow/tensorflow,2015-11-07T01:19:20Z,197066,41699,40932,98.16
trekhleb/javascript-algorithms,2018-03-24T07:47:04Z,196526,373,238,63.81
ultraworkers/claw-code,2026-03-31T08:58:08Z,195085,2211,2195,99.28
DigitalPlatDev/FreeDomain,2024-05-30T13:23:00Z,194306,0,0,N/A (sem issues)
ohmyzsh/ohmyzsh,2009-08-28T18:15:37Z,189268,5079,4925,96.97
microsoft/vscode,2015-09-03T20:23:38Z,188932,251204,233679,93.02
massgravel/Microsoft-Activation-Scripts,2020-01-12T23:03:34Z,187569,1073,1067,99.44
Significant-Gravitas/AutoGPT,2023-03-16T09:21:07Z,186687,3939,3651,92.69
yt-dlp/yt-dlp,2020-10-26T04:22:55Z,185590,11927,9953,83.45
CyC2018/CS-Notes,2018-02-13T14:56:24Z,185495,579,449,77.55
jackfrued/Python-100-Days,2018-03-01T16:05:52Z,185379,729,193,26.47
getify/You-Dont-Know-JS,2013-11-16T02:37:24Z,184713,947,947,100.00
avelino/awesome-go,2014-07-06T13:42:15Z,181536,759,736,96.97
ollama/ollama,2023-06-26T19:39:32Z,178966,11022,8593,77.96
flutter/flutter,2015-03-06T22:54:58Z,178496,115231,102653,89.08
github/gitignore,2010-11-08T20:17:14Z,175376,0,0,N/A (sem issues)
