Repositorio,Criado Em,Estrelas,Linguagem Primaria,Linguagens
codecrafters-io/build-your-own-x,2018-05-09T12:03:18Z,541193,Markdown,Markdown
sindresorhus/awesome,2014-07-11T13:42:37Z,497727,Sem linguagem,Sem linguagem
public-apis/public-apis,2016-03-20T23:49:42Z,465616,Python,"Python, Shell"
freeCodeCamp/freeCodeCamp,2014-12-24T17:49:19Z,454326,TypeScript,"TypeScript, JavaScript, CSS, Dockerfile, HCL"
EbookFoundation/free-programming-books,2013-10-11T06:50:37Z,394776,Python,"Python, HTML"
openclaw/openclaw,2025-11-24T10:16:47Z,386787,TypeScript,"TypeScript, Swift, Kotlin, JavaScript, Shell"
nilbuild/developer-roadmap,2017-03-15T13:45:52Z,364929,TypeScript,"TypeScript, JavaScript"
donnemartin/system-design-primer,2017-02-26T16:15:28Z,364869,Python,"Python, Shell"
jwasham/coding-interview-university,2016-06-06T02:34:12Z,359223,Sem linguagem,Sem linguagem
vinta/awesome-python,2014-06-27T21:00:06Z,314898,Python,"Python, HTML, CSS, JavaScript, Makefile"
awesome-selfhosted/awesome-selfhosted,2015-06-01T02:33:17Z,313689,Sem linguagem,Sem linguagem
practical-tutorials/project-based-learning,2017-04-12T05:07:46Z,279914,Python,Python
996icu/996.ICU,2019-03-26T07:31:14Z,276723,Sem linguagem,Sem linguagem
obra/superpowers,2025-10-09T19:45:18Z,274081,Shell,"Shell, JavaScript, Python, TypeScript, HTML"
react/react,2013-05-24T16:15:54Z,247418,JavaScript,"JavaScript, Rust, TypeScript, HTML, CSS"
torvalds/linux,2011-09-04T22:48:12Z,243303,C,"C, Assembly, Rust, Shell, Python"
affaan-m/ECC,2026-01-18T00:51:51Z,241115,JavaScript,"JavaScript, Rust, Python, Shell, TypeScript"
trimstray/the-book-of-secret-knowledge,2018-06-23T10:43:14Z,239154,Sem linguagem,Sem linguagem
NousResearch/hermes-agent,2025-07-22T22:22:28Z,232933,Python,"Python, TypeScript, JavaScript, TeX, Shell"
TheAlgorithms/Python,2016-07-16T09:44:01Z,223873,Python,"Python, Shell, Dockerfile"
mattpocock/skills,2026-02-03T11:15:53Z,223199,Shell,"Shell, JavaScript"
vuejs/vue,2013-07-29T03:24:51Z,210236,TypeScript,"TypeScript, JavaScript, HTML, CSS, Shell"
ossu/computer-science,2014-05-04T00:18:39Z,208169,HTML,HTML
multica-ai/andrej-karpathy-skills,2026-01-27T03:53:13Z,203862,Sem linguagem,Sem linguagem
n8n-io/n8n,2019-06-22T09:24:21Z,201186,TypeScript,"TypeScript, Vue, JavaScript, SCSS, Python"
anomalyco/opencode,2025-04-30T20:08:00Z,199124,TypeScript,"TypeScript, MDX, CSS, HTML, JavaScript"
tensorflow/tensorflow,2015-11-07T01:19:20Z,197065,C++,"C++, Python, MLIR, Starlark, HTML"
trekhleb/javascript-algorithms,2018-03-24T07:47:04Z,196526,JavaScript,JavaScript
ultraworkers/claw-code,2026-03-31T08:58:08Z,195085,Rust,"Rust, Python, Shell, HTML, Dockerfile"
DigitalPlatDev/FreeDomain,2024-05-30T13:23:00Z,194306,Markdown,Markdown
ohmyzsh/ohmyzsh,2009-08-28T18:15:37Z,189268,Shell,"Shell, Python, Makefile"
microsoft/vscode,2015-09-03T20:23:38Z,188932,TypeScript,"TypeScript, CSS, JavaScript, Rust, HTML"
massgravel/Microsoft-Activation-Scripts,2020-01-12T23:03:34Z,187570,Batchfile,"Batchfile, HTML"
Significant-Gravitas/AutoGPT,2023-03-16T09:21:07Z,186687,Python,"Python, TypeScript, JavaScript, Shell, PLpgSQL"
yt-dlp/yt-dlp,2020-10-26T04:22:55Z,185588,Python,"Python, Makefile, Shell, Dockerfile, Batchfile"
CyC2018/CS-Notes,2018-02-13T14:56:24Z,185495,Sem linguagem,Sem linguagem
jackfrued/Python-100-Days,2018-03-01T16:05:52Z,185379,Jupyter Notebook,"Jupyter Notebook, Python, HTML, Java"
getify/You-Dont-Know-JS,2013-11-16T02:37:24Z,184713,Sem linguagem,Sem linguagem
avelino/awesome-go,2014-07-06T13:42:15Z,181535,Go,Go
ollama/ollama,2023-06-26T19:39:32Z,178966,Go,"Go, C, TypeScript, C++, CMake"
flutter/flutter,2015-03-06T22:54:58Z,178496,Dart,"Dart, C++, Objective-C++, Java, Objective-C"
github/gitignore,2010-11-08T20:17:14Z,175376,Sem linguagem,Sem linguagem
microsoft/markitdown,2024-11-13T19:56:40Z,174662,Python,"Python, Dockerfile"
twbs/bootstrap,2011-07-29T21:19:00Z,174614,MDX,"MDX, JavaScript, Astro, SCSS, CSS"
521xueweihan/HelloGitHub,2016-05-04T06:24:11Z,171770,Python,Python
anthropics/skills,2025-09-22T15:53:31Z,170438,Python,"Python, HTML, Shell, JavaScript"
firecrawl/firecrawl,2024-04-15T21:02:29Z,169499,TypeScript,"TypeScript, Python, Rust, Java, PHP"
f/prompts.chat,2022-12-05T13:54:13Z,167562,HTML,"HTML, MDX, TypeScript, JavaScript, Shell"
deepseek-ai/deepseek-harness,2026-08-13T11:56:32Z,166087,TypeScript,"TypeScript, CSS, Python, JavaScript, Shell"
AUTOMATIC1111/stable-diffusion-webui,2022-08-22T14:05:26Z,164583,Python,"Python, JavaScript, CSS, HTML, Shell"
huggingface/transformers,2018-10-29T13:56:00Z,164259,Python,"Python, Dockerfile, Makefile, Shell, Jsonnet"
jlevy/the-art-of-command-line,2015-05-20T15:11:03Z,162126,Sem linguagem,Sem linguagem
Snailclimb/JavaGuide,2018-05-07T13:27:00Z,157887,JavaScript,JavaScript
langflow-ai/langflow,2023-02-08T22:28:03Z,153471,Python,"Python, TypeScript, JavaScript, CSS, Makefile"
langgenius/dify,2023-04-12T07:40:24Z,152911,TypeScript,"TypeScript, Python, JavaScript, Go, CSS"
open-webui/open-webui,2023-10-06T22:08:27Z,149244,Python,"Python, Svelte, JavaScript, TypeScript, CSS"
airbnb/javascript,2012-11-01T23:13:50Z,148130,JavaScript,JavaScript
Genymobile/scrcpy,2017-11-21T18:00:27Z,147916,C,"C, Java, Roff, Shell, Meson"
msitarzewski/agency-agents,2025-10-13T12:12:29Z,146254,Shell,"Shell, Python, PowerShell"
