Repositorio,Criado Em,Estrelas,Pull Requests Aceitas
codecrafters-io/build-your-own-x,2018-05-09T12:03:18Z,541222,157
sindresorhus/awesome,2014-07-11T13:42:37Z,497748,701
public-apis/public-apis,2016-03-20T23:49:42Z,465717,2147
freeCodeCamp/freeCodeCamp,2014-12-24T17:49:19Z,454326,29115
EbookFoundation/free-programming-books,2013-10-11T06:50:37Z,394777,7423
openclaw/openclaw,2025-11-24T10:16:47Z,386790,26355
nilbuild/developer-roadmap,2017-03-15T13:45:52Z,364932,4399
donnemartin/system-design-primer,2017-02-26T16:15:28Z,364882,210
jwasham/coding-interview-university,2016-06-06T02:34:12Z,359228,415
vinta/awesome-python,2014-06-27T21:00:06Z,314913,741
awesome-selfhosted/awesome-selfhosted,2015-06-01T02:33:17Z,313707,0
practical-tutorials/project-based-learning,2017-04-12T05:07:46Z,279923,194
996icu/996.ICU,2019-03-26T07:31:14Z,276724,1072
obra/superpowers,2025-10-09T19:45:18Z,274113,167
react/react,2013-05-24T16:15:54Z,247417,13034
torvalds/linux,2011-09-04T22:48:12Z,243307,0
affaan-m/ECC,2026-01-18T00:51:51Z,241128,997
trimstray/the-book-of-secret-knowledge,2018-06-23T10:43:14Z,239163,122
NousResearch/hermes-agent,2025-07-22T22:22:28Z,232963,11258
TheAlgorithms/Python,2016-07-16T09:44:01Z,223874,3088
mattpocock/skills,2026-02-03T11:15:53Z,223320,93
vuejs/vue,2013-07-29T03:24:51Z,210236,1136
ossu/computer-science,2014-05-04T00:18:39Z,208172,315
multica-ai/andrej-karpathy-skills,2026-01-27T03:53:13Z,203882,12
n8n-io/n8n,2019-06-22T09:24:21Z,201192,20195
anomalyco/opencode,2025-04-30T20:08:00Z,199146,7351
tensorflow/tensorflow,2015-11-07T01:19:20Z,197066,48928
trekhleb/javascript-algorithms,2018-03-24T07:47:04Z,196529,309
ultraworkers/claw-code,2026-03-31T08:58:08Z,195085,143
DigitalPlatDev/FreeDomain,2024-05-30T13:23:00Z,194316,0
ohmyzsh/ohmyzsh,2009-08-28T18:15:37Z,189268,3653
microsoft/vscode,2015-09-03T20:23:38Z,188934,52153
massgravel/Microsoft-Activation-Scripts,2020-01-12T23:03:34Z,187576,7
Significant-Gravitas/AutoGPT,2023-03-16T09:21:07Z,186686,4773
yt-dlp/yt-dlp,2020-10-26T04:22:55Z,185601,3405
CyC2018/CS-Notes,2018-02-13T14:56:24Z,185496,374
jackfrued/Python-100-Days,2018-03-01T16:05:52Z,185382,13
getify/You-Dont-Know-JS,2013-11-16T02:37:24Z,184712,370
avelino/awesome-go,2014-07-06T13:42:15Z,181544,3880
ollama/ollama,2023-06-26T19:39:32Z,178972,3528
flutter/flutter,2015-03-06T22:54:58Z,178498,49661
github/gitignore,2010-11-08T20:17:14Z,175376,1779
microsoft/markitdown,2024-11-13T19:56:40Z,174669,183
twbs/bootstrap,2011-07-29T21:19:00Z,174614,9481
521xueweihan/HelloGitHub,2016-05-04T06:24:11Z,171779,17
anthropics/skills,2025-09-22T15:53:31Z,170448,50
firecrawl/firecrawl,2024-04-15T21:02:29Z,169534,1936
f/prompts.chat,2022-12-05T13:54:13Z,167576,236
deepseek-ai/deepseek-harness,2026-08-13T11:56:32Z,166332,0
AUTOMATIC1111/stable-diffusion-webui,2022-08-22T14:05:26Z,164583,1875
huggingface/transformers,2018-10-29T13:56:00Z,164263,20219
jlevy/the-art-of-command-line,2015-05-20T15:11:03Z,162127,317
Snailclimb/JavaGuide,2018-05-07T13:27:00Z,157888,1270
langflow-ai/langflow,2023-02-08T22:28:03Z,153473,7312
langgenius/dify,2023-04-12T07:40:24Z,152910,13431
open-webui/open-webui,2023-10-06T22:08:27Z,149249,4058
airbnb/javascript,2012-11-01T23:13:50Z,148131,822
Genymobile/scrcpy,2017-11-21T18:00:27Z,147919,153
msitarzewski/agency-agents,2025-10-13T12:12:29Z,146265,222
langchain-ai/langchain,2022-10-17T02:58:36Z,144575,17274
x1xhlol/system-prompts-and-models-of-ai-tools,2025-03-05T16:38:29Z,142929,52
yangshun/tech-interview-handbook,2016-07-05T05:00:48Z,142003,494
anthropics/claude-code,2025-02-22T17:41:21Z,142001,162
vercel/next.js,2016-10-05T23:32:51Z,141868,28230
ytdl-org/youtube-dl,2010-10-31T14:35:07Z,140975,1646
clash-verge-rev/clash-verge-rev,2023-11-21T18:24:03Z,138858,1015
microsoft/PowerToys,2019-05-01T17:44:02Z,137884,7013
iptv-org/iptv,2018-11-14T22:00:57Z,136188,6997
golang/go,2014-08-19T04:33:40Z,135907,1
labuladong/fucking-algorithm,2020-02-19T09:01:23Z,135385,244
Shubhamsaboo/awesome-llm-apps,2024-04-29T05:30:25Z,133232,242
ripienaar/free-for-dev,2015-03-18T21:06:26Z,132205,3080
github/spec-kit,2025-08-21T22:54:31Z,130294,1398
excalidraw/excalidraw,2020-01-02T01:04:43Z,130024,3961
krahets/hello-algo,2022-11-04T11:08:34Z,129484,996
Chalarangelo/30-seconds-of-code,2017-11-29T17:35:03Z,128744,856
garrytan/gstack,2026-03-11T21:22:45Z,128713,307
Comfy-Org/ComfyUI,2023-01-17T03:15:56Z,128439,3161
farion1231/cc-switch,2025-08-04T14:16:16Z,128284,458
react/react-native,2015-01-09T18:10:16Z,126366,999
ggml-org/llama.cpp,2023-03-10T18:58:00Z,124705,9760
kubernetes/kubernetes,2014-06-06T22:56:04Z,124601,65651
electron/electron,2013-04-12T01:47:36Z,122579,26681
shadcn-ui/ui,2023-01-04T12:43:27Z,121651,1439
rustdesk/rustdesk,2020-09-28T15:36:08Z,121252,4206
nodejs/node,2014-11-26T19:57:11Z,119018,13220
Hack-with-Github/Awesome-Hacking,2016-03-30T15:47:10Z,118628,41
justjavac/free-programming-books-zh_CN,2013-11-04T01:59:19Z,118400,300
nextlevelbuilder/ui-ux-pro-max-skill,2025-11-30T11:36:31Z,118188,139
microsoft/generative-ai-for-beginners,2023-06-19T16:28:59Z,118099,601
godotengine/godot,2014-01-04T16:05:36Z,115875,43392
rust-lang/rust,2010-06-16T20:39:03Z,115610,73601
mrdoob/three.js,2010-03-23T18:58:01Z,114613,16003
2dust/v2rayN,2019-07-30T03:47:24Z,114220,606
d3/d3,2010-09-27T17:22:42Z,113496,495
immich-app/immich,2022-02-03T15:56:27Z,111717,10030
jaywcjlove/awesome-mac,2016-07-17T15:33:47Z,111435,1245
tauri-apps/tauri,2019-07-13T09:09:37Z,110365,5674
microsoft/TypeScript,2014-06-17T15:28:39Z,110208,14893
harry0703/MoneyPrinterTurbo,2024-03-11T02:57:34Z,110184,203
browser-use/browser-use,2024-10-31T16:00:56Z,109759,1896
VoltAgent/awesome-design-md,2026-03-31T16:37:01Z,109271,6
axios/axios,2014-08-18T22:30:27Z,109199,1482
fatedier/frp,2015-12-21T15:24:59Z,108881,861
papers-we-love/papers-we-love,2013-12-15T14:31:41Z,108844,444
denoland/deno,2018-05-15T01:34:26Z,108261,16462
Graphify-Labs/graphify,2026-04-03T15:49:07Z,108257,135
supabase/supabase,2019-10-12T05:56:49Z,108163,18693
openai/whisper,2022-09-16T20:02:54Z,107622,122
openai/codex,2025-04-13T05:37:54Z,106833,9636
google-gemini/gemini-cli,2025-04-17T17:04:31Z,106577,6658
DietrichGebert/ponytail,2026-06-12T00:52:37Z,105852,174
goldbergyoni/nodebestpractices,2017-09-15T08:33:19Z,105588,766
microsoft/terminal,2017-08-11T18:38:22Z,104633,4521
deepseek-ai/DeepSeek-V3,2024-12-26T09:52:40Z,104345,25
react/create-react-app,2016-07-17T14:55:11Z,103287,1949
rasbt/LLMs-from-scratch,2023-07-23T18:15:57Z,103011,507
pytorch/pytorch,2016-08-13T05:26:41Z,102483,6600
Anduin2017/HowToCook,2020-02-29T10:43:49Z,101895,645
neovim/neovim,2014-01-31T13:39:22Z,101868,19664
fastapi/fastapi,2018-12-08T08:21:47Z,101699,3569
angular/angular,2014-09-18T16:12:01Z,101006,7368
ruanyf/weekly,2018-10-13T12:36:07Z,100785,120
mtdvio/every-programmer-should-know,2017-08-24T13:18:26Z,100263,109
JuliusBrussee/caveman,2026-04-04T10:03:00Z,99196,59
ant-design/ant-design,2015-04-24T15:37:24Z,99117,18241
TauricResearch/TradingAgents,2024-12-28T03:31:08Z,98935,27
mui/material-ui,2014-08-18T19:11:54Z,98865,22181
nvbn/thefuck,2015-04-08T15:08:04Z,97715,482
tailwindlabs/tailwindcss,2017-10-06T14:59:14Z,97287,3476
florinpop17/app-ideas,2019-02-25T18:36:56Z,96924,151
microsoft/Web-Dev-For-Beginners,2020-11-10T02:44:00Z,96380,689
hacksider/Deep-Live-Cam,2023-09-24T13:19:31Z,96007,122
puppeteer/puppeteer,2017-05-09T22:16:13Z,95464,6212
oven-sh/bun,2021-04-14T00:48:17Z,95458,9792
ryanmcdermott/clean-code-javascript,2016-11-25T22:25:41Z,94758,149
microsoft/playwright,2019-11-15T18:32:42Z,94746,17716
nvm-sh/nvm,2010-04-15T17:47:47Z,94656,761
iluwatar/java-design-patterns,2014-08-09T16:45:18Z,94590,1578
karpathy/autoresearch,2026-03-06T22:00:43Z,94155,7
earendil-works/pi,2025-08-09T14:03:50Z,93718,912
punkpeye/awesome-mcp-servers,2024-11-30T04:49:10Z,92567,3391
deepseek-ai/DeepSeek-R1,2025-01-20T11:57:28Z,92035,10
3b1b/manim,2015-03-22T18:50:58Z,91712,702
thedotmack/claude-mem,2025-08-31T20:50:03Z,91245,509
ruvnet/RuView,2025-06-07T04:32:30Z,90936,403
storybookjs/storybook,2016-03-18T04:23:44Z,90876,13133
opencv/opencv,2012-07-19T09:40:17Z,90501,14059
louislam/uptime-kuma,2021-07-03T01:02:42Z,90351,1816
PanJiaChen/vue-element-admin,2017-04-17T03:35:49Z,90206,311
home-assistant/core,2013-09-17T07:29:48Z,89977,90123
bitcoin/bitcoin,2010-12-19T15:16:43Z,89945,16828
Stirling-Tools/Stirling-PDF,2023-01-27T18:22:42Z,89860,4111
mermaid-js/mermaid,2014-11-01T23:52:32Z,89846,2818
sherlock-project/sherlock,2018-12-24T14:30:48Z,89811,744
modelcontextprotocol/servers,2024-11-19T01:10:17Z,89685,1228
microsoft/ML-For-Beginners,2021-03-03T01:34:05Z,89535,496
vllm-project/vllm,2023-02-09T11:23:20Z,89457,20108
gohugoio/hugo,2013-07-04T15:26:26Z,89449,3484
nexu-io/open-design,2026-04-28T04:25:20Z,89275,2876
gin-gonic/gin,2014-06-16T23:57:25Z,89083,1248
zed-industries/zed,2021-02-20T03:01:06Z,88888,26446
astral-sh/uv,2023-10-02T20:24:11Z,88886,10140
infiniflow/ragflow,2023-12-12T06:13:13Z,88830,8505
localsend/localsend,2022-12-16T00:46:07Z,88730,732
ChatGPTNextWeb/NextChat,2023-03-10T18:27:54Z,88624,912
addyosmani/agent-skills,2026-02-15T20:20:26Z,88562,133
MunGell/awesome-for-beginners,2015-10-24T19:53:36Z,88521,484
django/django,2012-04-28T02:47:18Z,88475,10690
sveltejs/svelte,2016-11-20T18:13:05Z,87979,6786
PaddlePaddle/PaddleOCR,2020-05-08T10:38:16Z,87922,3199
syncthing/syncthing,2013-11-26T09:48:21Z,87794,2929
ByteByteGoHq/system-design-101,2023-09-18T20:52:03Z,87327,23
odysseus-dev/odysseus,2026-05-31T14:05:51Z,85734,1433
OpenCut-app/OpenCut,2025-06-22T08:02:17Z,85174,192
laravel/laravel,2011-06-08T03:06:08Z,84824,1710
macrozheng/mall,2018-04-04T01:11:44Z,84574,1
OpenHands/OpenHands,2024-03-13T03:33:31Z,84489,7507
bregman-arie/devops-exercises,2019-10-03T17:31:21Z,84154,309
DopplerHQ/awesome-interview-questions,2015-11-28T09:48:17Z,84120,175
realworld-apps/realworld,2016-02-26T20:49:53Z,84108,435
koala73/worldmonitor,2026-01-08T17:26:06Z,83166,4626
Developer-Y/cs-video-courses,2016-10-21T17:02:11Z,83122,283
animate-css/animate.css,2011-10-12T10:07:38Z,82737,315
junegunn/fzf,2013-10-23T16:04:23Z,82582,687
fighting41love/funNLP,2018-08-21T11:20:39Z,82547,14
vitejs/vite,2020-04-21T05:03:57Z,82411,6608
tonsky/FiraCode,2014-11-11T19:32:38Z,81933,145
mlabonne/llm-course,2023-06-17T22:16:25Z,81834,2
lobehub/lobehub,2023-05-21T07:19:12Z,81827,7888
jesseduffield/lazygit,2018-05-19T00:53:06Z,81469,2046
spring-projects/spring-boot,2012-10-19T15:02:57Z,81324,200
bytedance/deer-flow,2025-05-07T02:50:19Z,80324,1776
TapXWorld/ChinaTextbook,2020-01-05T04:11:06Z,80283,1
netdata/netdata,2013-06-17T18:39:10Z,80229,12923
swisskyrepo/PayloadsAllTheThings,2016-10-18T07:29:07Z,80179,560
hoppscotch/hoppscotch,2019-08-21T13:15:24Z,80057,2140
anuraghazra/github-readme-stats,2020-07-09T10:34:22Z,79830,1569
Egonex-AI/Understand-Anything,2026-03-15T02:30:51Z,79818,123
d2l-ai/d2l-zh,2017-08-23T04:40:24Z,79805,1019
doocs/advanced-java,2018-10-06T11:38:30Z,79066,94
Z4nzu/hackingtool,2020-04-11T09:21:31Z,79032,59
coder/code-server,2019-02-27T16:50:41Z,78948,1750
paperclipai/paperclip,2026-03-02T15:01:51Z,78876,1769
ventoy/Ventoy,2020-03-10T15:19:19Z,78820,302
unclecode/crawl4ai,2024-05-09T09:48:50Z,78701,224
awesomedata/awesome-public-datasets,2014-11-20T06:20:50Z,78147,188
Leonxlnx/taste-skill,2026-02-19T21:44:05Z,78121,8
opendatalab/MinerU,2024-02-29T08:52:34Z,77990,1539
elastic/elasticsearch,2010-02-08T13:20:56Z,77843,95555
tensorflow/models,2016-02-05T01:15:20Z,77651,2345
dair-ai/Prompt-Engineering-Guide,2022-12-16T16:04:50Z,77591,342
nomic-ai/gpt4all,2023-03-27T18:49:32Z,77404,938
FortAwesome/Font-Awesome,2012-02-17T14:19:43Z,76843,222
MisterBooo/LeetCodeAnimation,2018-12-06T08:01:22Z,76694,63
rtk-ai/rtk,2026-01-22T16:54:16Z,76665,549
nestjs/nest,2017-02-04T20:12:52Z,76403,8699
grafana/grafana,2013-12-11T15:59:56Z,76307,69461
sdmg15/Best-websites-a-programmer-should-visit,2017-03-05T20:25:17Z,76271,430
redis/redis,2009-03-21T22:32:25Z,76042,4762
tesseract-ocr/tesseract,2014-08-12T18:04:59Z,75992,1467
ocornut/imgui,2014-07-21T14:29:47Z,75734,427
AppFlowy-IO/AppFlowy,2021-06-16T12:56:48Z,75731,3895
typicode/json-server,2013-11-27T13:21:13Z,75690,171
openai/openai-cookbook,2022-03-11T02:08:53Z,75357,1083
obsproject/obs-studio,2013-10-01T02:40:31Z,75211,5563
D4Vinci/Scrapling,2024-10-13T20:29:53Z,75191,104
PKUFlyingPig/cs-self-learning,2021-10-20T13:43:42Z,75048,319
caddyserver/caddy,2015-01-13T19:45:03Z,75022,2393
shareAI-lab/learn-claude-code,2025-06-29T15:34:15Z,74672,82
python/cpython,2017-02-10T19:23:51Z,74408,62671
enaqx/awesome-react,2014-08-06T05:31:44Z,74337,798
apache/superset,2015-07-21T18:55:34Z,74311,19685
abi/screenshot-to-code,2023-11-14T17:53:32Z,74235,83
hiyouga/LlamaFactory,2023-05-28T10:09:12Z,74231,1019
josephmisiti/awesome-machine-learning,2014-07-15T19:11:19Z,74074,928
Eugeny/tabby,2016-12-23T09:06:10Z,74007,1580
unionlabs/union,2023-05-16T22:33:39Z,73851,3128
twitter/the-algorithm,2023-03-27T14:57:57Z,73834,2
unslothai/unsloth,2023-11-29T16:50:09Z,73790,3534
datawhalechina/hello-agents,2025-09-07T09:50:24Z,73775,171
thedaviddias/Front-End-Checklist,2017-10-16T10:12:36Z,73573,180
vuejs/awesome-vue,2015-10-20T00:16:14Z,73539,3655
binhnguyennus/awesome-scalability,2017-12-27T03:46:40Z,73391,37
CompVis/stable-diffusion,2022-08-10T14:36:44Z,73308,5
