Repositorio,Criado Em,Estrelas,Tags
codecrafters-io/build-your-own-x,2018-05-09T12:03:18Z,541224,0
sindresorhus/awesome,2014-07-11T13:42:37Z,497751,0
public-apis/public-apis,2016-03-20T23:49:42Z,465722,0
freeCodeCamp/freeCodeCamp,2014-12-24T17:49:19Z,454326,0
EbookFoundation/free-programming-books,2013-10-11T06:50:37Z,394777,0
openclaw/openclaw,2025-11-24T10:16:47Z,386790,352
nilbuild/developer-roadmap,2017-03-15T13:45:52Z,364933,4
donnemartin/system-design-primer,2017-02-26T16:15:28Z,364882,0
jwasham/coding-interview-university,2016-06-06T02:34:12Z,359228,0
vinta/awesome-python,2014-06-27T21:00:06Z,314913,0
awesome-selfhosted/awesome-selfhosted,2015-06-01T02:33:17Z,313708,1
practical-tutorials/project-based-learning,2017-04-12T05:07:46Z,279924,0
996icu/996.ICU,2019-03-26T07:31:14Z,276724,0
obra/superpowers,2025-10-09T19:45:18Z,274114,34
react/react,2013-05-24T16:15:54Z,247417,174
torvalds/linux,2011-09-04T22:48:12Z,243307,943
affaan-m/ECC,2026-01-18T00:51:51Z,241131,16
trimstray/the-book-of-secret-knowledge,2018-06-23T10:43:14Z,239162,0
NousResearch/hermes-agent,2025-07-22T22:22:28Z,232963,34
TheAlgorithms/Python,2016-07-16T09:44:01Z,223874,0
mattpocock/skills,2026-02-03T11:15:53Z,223324,7
vuejs/vue,2013-07-29T03:24:51Z,210236,291
ossu/computer-science,2014-05-04T00:18:39Z,208172,5
multica-ai/andrej-karpathy-skills,2026-01-27T03:53:13Z,203882,0
n8n-io/n8n,2019-06-22T09:24:21Z,201192,2119
anomalyco/opencode,2025-04-30T20:08:00Z,199148,1090
tensorflow/tensorflow,2015-11-07T01:19:20Z,197066,226
trekhleb/javascript-algorithms,2018-03-24T07:47:04Z,196529,0
ultraworkers/claw-code,2026-03-31T08:58:08Z,195085,0
DigitalPlatDev/FreeDomain,2024-05-30T13:23:00Z,194316,0
ohmyzsh/ohmyzsh,2009-08-28T18:15:37Z,189268,0
microsoft/vscode,2015-09-03T20:23:38Z,188934,385
massgravel/Microsoft-Activation-Scripts,2020-01-12T23:03:34Z,187576,31
Significant-Gravitas/AutoGPT,2023-03-16T09:21:07Z,186686,119
yt-dlp/yt-dlp,2020-10-26T04:22:55Z,185601,139
CyC2018/CS-Notes,2018-02-13T14:56:24Z,185496,0
jackfrued/Python-100-Days,2018-03-01T16:05:52Z,185383,0
getify/You-Dont-Know-JS,2013-11-16T02:37:24Z,184712,0
avelino/awesome-go,2014-07-06T13:42:15Z,181544,0
ollama/ollama,2023-06-26T19:39:32Z,178972,630
flutter/flutter,2015-03-06T22:54:58Z,178498,1107
github/gitignore,2010-11-08T20:17:14Z,175376,0
microsoft/markitdown,2024-11-13T19:56:40Z,174670,22
twbs/bootstrap,2011-07-29T21:19:00Z,174614,94
521xueweihan/HelloGitHub,2016-05-04T06:24:11Z,171779,68
anthropics/skills,2025-09-22T15:53:31Z,170448,0
firecrawl/firecrawl,2024-04-15T21:02:29Z,169536,296
f/prompts.chat,2022-12-05T13:54:13Z,167576,0
deepseek-ai/deepseek-harness,2026-08-13T11:56:32Z,166339,2
AUTOMATIC1111/stable-diffusion-webui,2022-08-22T14:05:26Z,164583,36
huggingface/transformers,2018-10-29T13:56:00Z,164263,286
jlevy/the-art-of-command-line,2015-05-20T15:11:03Z,162127,0
Snailclimb/JavaGuide,2018-05-07T13:27:00Z,157888,0
langflow-ai/langflow,2023-02-08T22:28:03Z,153473,1123
langgenius/dify,2023-04-12T07:40:24Z,152910,176
open-webui/open-webui,2023-10-06T22:08:27Z,149250,167
airbnb/javascript,2012-11-01T23:13:50Z,148131,102
Genymobile/scrcpy,2017-11-21T18:00:27Z,147919,62
msitarzewski/agency-agents,2025-10-13T12:12:29Z,146266,0
langchain-ai/langchain,2022-10-17T02:58:36Z,144575,1338
x1xhlol/system-prompts-and-models-of-ai-tools,2025-03-05T16:38:29Z,142929,0
yangshun/tech-interview-handbook,2016-07-05T05:00:48Z,142003,1
