Repositorio,Criado Em,Estrelas,Linguagem Primaria,Linguagens
codecrafters-io/build-your-own-x,2018-05-09T12:03:18Z,538092,Markdown,Markdown
sindresorhus/awesome,2014-07-11T13:42:37Z,494007,Sem linguagem,Sem linguagem
public-apis/public-apis,2016-03-20T23:49:42Z,455210,Python,"Python, Shell"
freeCodeCamp/freeCodeCamp,2014-12-24T17:49:19Z,453714,TypeScript,"TypeScript, JavaScript, CSS, Dockerfile, HCL"
EbookFoundation/free-programming-books,2013-10-11T06:50:37Z,394038,Python,"Python, HTML"
openclaw/openclaw,2025-11-24T10:16:47Z,385689,TypeScript,"TypeScript, Swift, Kotlin, JavaScript, Shell"
nilbuild/developer-roadmap,2017-03-15T13:45:52Z,364007,TypeScript,"TypeScript, JavaScript"
donnemartin/system-design-primer,2017-02-26T16:15:28Z,362669,Python,"Python, Shell"
jwasham/coding-interview-university,2016-06-06T02:34:12Z,358275,Sem linguagem,Sem linguagem
vinta/awesome-python,2014-06-27T21:00:06Z,313058,Python,"Python, HTML, CSS, JavaScript, Makefile"
awesome-selfhosted/awesome-selfhosted,2015-06-01T02:33:17Z,311594,Sem linguagem,Sem linguagem
practical-tutorials/project-based-learning,2017-04-12T05:07:46Z,277571,Python,Python
996icu/996.ICU,2019-03-26T07:31:14Z,276589,Sem linguagem,Sem linguagem
obra/superpowers,2025-10-09T19:45:18Z,269668,Shell,"Shell, JavaScript, TypeScript, HTML, Python"
react/react,2013-05-24T16:15:54Z,247145,JavaScript,"JavaScript, Rust, TypeScript, HTML, CSS"
torvalds/linux,2011-09-04T22:48:12Z,242311,C,"C, Assembly, Rust, Shell, Python"
affaan-m/ECC,2026-01-18T00:51:51Z,238988,JavaScript,"JavaScript, Rust, Python, Shell, TypeScript"
trimstray/the-book-of-secret-knowledge,2018-06-23T10:43:14Z,237482,Sem linguagem,Sem linguagem
NousResearch/hermes-agent,2025-07-22T22:22:28Z,227883,Python,"Python, TypeScript, JavaScript, TeX, Shell"
TheAlgorithms/Python,2016-07-16T09:44:01Z,223597,Python,"Python, Shell, Dockerfile"
mattpocock/skills,2026-02-03T11:15:53Z,210943,Shell,"Shell, JavaScript"
vuejs/vue,2013-07-29T03:24:51Z,210245,TypeScript,"TypeScript, JavaScript, HTML, CSS, Shell"
ossu/computer-science,2014-05-04T00:18:39Z,207807,HTML,HTML
multica-ai/andrej-karpathy-skills,2026-01-27T03:53:13Z,200865,Sem linguagem,Sem linguagem
n8n-io/n8n,2019-06-22T09:24:21Z,199959,TypeScript,"TypeScript, Vue, JavaScript, SCSS, Python"
tensorflow/tensorflow,2015-11-07T01:19:20Z,196948,C++,"C++, Python, MLIR, Starlark, HTML"
trekhleb/javascript-algorithms,2018-03-24T07:47:04Z,196421,JavaScript,JavaScript
anomalyco/opencode,2025-04-30T20:08:00Z,195393,TypeScript,"TypeScript, MDX, CSS, HTML, JavaScript"
ultraworkers/claw-code,2026-03-31T08:58:08Z,195021,Rust,"Rust, Python, Shell, HTML, Dockerfile"
DigitalPlatDev/FreeDomain,2024-05-30T13:23:00Z,191955,Sem linguagem,Sem linguagem
ohmyzsh/ohmyzsh,2009-08-28T18:15:37Z,189095,Shell,"Shell, Python, Makefile"
microsoft/vscode,2015-09-03T20:23:38Z,188542,TypeScript,"TypeScript, CSS, JavaScript, Rust, HTML"
massgravel/Microsoft-Activation-Scripts,2020-01-12T23:03:34Z,186470,Batchfile,"Batchfile, HTML"
Significant-Gravitas/AutoGPT,2023-03-16T09:21:07Z,186457,Python,"Python, TypeScript, JavaScript, PLpgSQL, Shell"
jackfrued/Python-100-Days,2018-03-01T16:05:52Z,185027,Jupyter Notebook,"Jupyter Notebook, Python, HTML, Java"
CyC2018/CS-Notes,2018-02-13T14:56:24Z,184983,Sem linguagem,Sem linguagem
getify/You-Dont-Know-JS,2013-11-16T02:37:24Z,184638,Sem linguagem,Sem linguagem
yt-dlp/yt-dlp,2020-10-26T04:22:55Z,183488,Python,"Python, Makefile, Shell, Dockerfile, Batchfile"
avelino/awesome-go,2014-07-06T13:42:15Z,180605,Go,Go
flutter/flutter,2015-03-06T22:54:58Z,178279,Dart,"Dart, C++, Objective-C++, Java, Objective-C"
ollama/ollama,2023-06-26T19:39:32Z,178137,Go,"Go, C, TypeScript, C++, CMake"
github/gitignore,2010-11-08T20:17:14Z,175208,Sem linguagem,Sem linguagem
twbs/bootstrap,2011-07-29T21:19:00Z,174564,MDX,"MDX, JavaScript, Astro, SCSS, CSS"
microsoft/markitdown,2024-11-13T19:56:40Z,172605,Python,"Python, Dockerfile"
521xueweihan/HelloGitHub,2016-05-04T06:24:11Z,169998,Python,Python
anthropics/skills,2025-09-22T15:53:31Z,167210,Python,"Python, HTML, Shell, JavaScript"
f/prompts.chat,2022-12-05T13:54:13Z,166922,HTML,"HTML, MDX, TypeScript, JavaScript, Shell"
AUTOMATIC1111/stable-diffusion-webui,2022-08-22T14:05:26Z,164462,Python,"Python, JavaScript, CSS, HTML, Shell"
