Linguagem,Total de Repositorios,Media PRs,Media Releases,Media Dias Sem Atualizar,Media Frequencia Issues
Python,23,3887,132,22,31.29
TypeScript,17,11204,191,39,79.64
Sem linguagem,14,396,0,230,0.81
JavaScript,10,7586,197,13,37.56
Shell,5,923,42,16,46.69
C++,5,25798,552,0,12.0
Rust,5,16747,48,0,85.25
Go,5,14771,232,0,124.07
C,3,2373,62,9,20.0
HTML,3,1207,0,9,2.02
Markdown,2,200,0,95,8.21
Jupyter Notebook,2,307,0,8,4.34
Batchfile,1,7,31,37,37.5
Dart,1,49427,7,0,0.0
MDX,1,9473,94,0,15.79
Java,1,994,10,17,2.0
C#,1,593,332,0,300.0
Swift,1,1240,15,0,11.11
