Repositorio,Criado Em,Estrelas,Total de Issues,Issues Fechadas,Percentual de Issues Fechadas
codecrafters-io/build-your-own-x,2018-05-09T12:03:18Z,538092,942,677,71.87
sindresorhus/awesome,2014-07-11T13:42:37Z,494013,368,352,95.65
public-apis/public-apis,2016-03-20T23:49:42Z,455210,921,911,98.91
freeCodeCamp/freeCodeCamp,2014-12-24T17:49:19Z,453709,22035,21859,99.20
EbookFoundation/free-programming-books,2013-10-11T06:50:37Z,394034,1292,1254,97.06
openclaw/openclaw,2025-11-24T10:16:47Z,385690,46439,42995,92.58
nilbuild/developer-roadmap,2017-03-15T13:45:52Z,364009,3184,3183,99.97
donnemartin/system-design-primer,2017-02-26T16:15:28Z,362679,397,127,31.99
jwasham/coding-interview-university,2016-06-06T02:34:12Z,358275,536,455,84.89
vinta/awesome-python,2014-06-27T21:00:06Z,313067,0,0,N/A (sem issues)
awesome-selfhosted/awesome-selfhosted,2015-06-01T02:33:17Z,311605,0,0,N/A (sem issues)
practical-tutorials/project-based-learning,2017-04-12T05:07:46Z,277579,239,88,36.82
996icu/996.ICU,2019-03-26T07:31:14Z,276589,0,0,N/A (sem issues)
obra/superpowers,2025-10-09T19:45:18Z,269683,832,681,81.85
react/react,2013-05-24T16:15:54Z,247125,14607,13797,94.45
torvalds/linux,2011-09-04T22:48:12Z,242261,0,0,N/A (sem issues)
affaan-m/ECC,2026-01-18T00:51:51Z,239002,695,659,94.82
trimstray/the-book-of-secret-knowledge,2018-06-23T10:43:14Z,237487,0,0,N/A (sem issues)
NousResearch/hermes-agent,2025-07-22T22:22:28Z,227897,20449,10457,51.14
TheAlgorithms/Python,2016-07-16T09:44:01Z,223597,1749,1606,91.82
mattpocock/skills,2026-02-03T11:15:53Z,210994,607,296,48.76
vuejs/vue,2013-07-29T03:24:51Z,210235,10035,9670,96.36
ossu/computer-science,2014-05-04T00:18:39Z,207806,674,658,97.63
multica-ai/andrej-karpathy-skills,2026-01-27T03:53:13Z,200878,0,0,N/A (sem issues)
n8n-io/n8n,2019-06-22T09:24:21Z,199968,9933,9597,96.62
tensorflow/tensorflow,2015-11-07T01:19:20Z,196945,41673,40876,98.09
trekhleb/javascript-algorithms,2018-03-24T07:47:04Z,196419,373,238,63.81
anomalyco/opencode,2025-04-30T20:08:00Z,195399,23124,19280,83.38
ultraworkers/claw-code,2026-03-31T08:58:08Z,195019,2210,2195,99.32
DigitalPlatDev/FreeDomain,2024-05-30T13:23:00Z,191987,0,0,N/A (sem issues)
ohmyzsh/ohmyzsh,2009-08-28T18:15:37Z,189093,5076,4927,97.06
microsoft/vscode,2015-09-03T20:23:38Z,188536,250298,232963,93.07
massgravel/Microsoft-Activation-Scripts,2020-01-12T23:03:34Z,186476,1064,1061,99.72
Significant-Gravitas/AutoGPT,2023-03-16T09:21:07Z,186458,3937,3637,92.38
jackfrued/Python-100-Days,2018-03-01T16:05:52Z,185025,729,192,26.34
CyC2018/CS-Notes,2018-02-13T14:56:24Z,184983,579,449,77.55
getify/You-Dont-Know-JS,2013-11-16T02:37:24Z,184636,947,947,100.00
yt-dlp/yt-dlp,2020-10-26T04:22:55Z,183495,11874,9904,83.41
avelino/awesome-go,2014-07-06T13:42:15Z,180609,755,736,97.48
flutter/flutter,2015-03-06T22:54:58Z,178277,115054,102497,89.09
ollama/ollama,2023-06-26T19:39:32Z,178134,10918,8536,78.18
github/gitignore,2010-11-08T20:17:14Z,175207,0,0,N/A (sem issues)
twbs/bootstrap,2011-07-29T21:19:00Z,174561,22939,22790,99.35
microsoft/markitdown,2024-11-13T19:56:40Z,172610,558,181,32.44
521xueweihan/HelloGitHub,2016-05-04T06:24:11Z,170000,3287,2708,82.39
anthropics/skills,2025-09-22T15:53:31Z,167216,358,48,13.41
f/prompts.chat,2022-12-05T13:54:13Z,166923,172,152,88.37
AUTOMATIC1111/stable-diffusion-webui,2022-08-22T14:05:26Z,164462,7913,5491,69.39
firecrawl/firecrawl,2024-04-15T21:02:29Z,164113,943,884,93.74
huggingface/transformers,2018-10-29T13:56:00Z,163504,19282,18386,95.35
jlevy/the-art-of-command-line,2015-05-20T15:11:03Z,162055,264,138,52.27
Snailclimb/JavaGuide,2018-05-07T13:27:00Z,157633,1155,1098,95.06
langflow-ai/langflow,2023-02-08T22:28:03Z,152983,3413,3197,93.67
langgenius/dify,2023-04-12T07:40:24Z,151866,18563,18297,98.57
open-webui/open-webui,2023-10-06T22:08:27Z,148324,9300,8993,96.70
airbnb/javascript,2012-11-01T23:13:50Z,148118,1415,1315,92.93
Genymobile/scrcpy,2017-11-21T18:00:27Z,147301,6143,3356,54.63
langchain-ai/langchain,2022-10-17T02:58:36Z,143808,9940,9591,96.49
x1xhlol/system-prompts-and-models-of-ai-tools,2025-03-05T16:38:29Z,142681,211,120,56.87
yangshun/tech-interview-handbook,2016-07-05T05:00:48Z,141704,126,92,73.02
vercel/next.js,2016-10-05T23:32:51Z,141704,25114,22875,91.08
ytdl-org/youtube-dl,2010-10-31T14:35:07Z,140915,26831,23204,86.48
anthropics/claude-code,2025-02-22T17:41:21Z,140819,82610,67851,82.13
msitarzewski/agency-agents,2025-10-13T12:12:29Z,140550,139,87,62.59
microsoft/PowerToys,2019-05-01T17:44:02Z,137608,41002,33664,82.10
clash-verge-rev/clash-verge-rev,2023-11-21T18:24:03Z,136689,5775,5380,93.16
golang/go,2014-08-19T04:33:40Z,135685,72756,63033,86.64
iptv-org/iptv,2018-11-14T22:00:57Z,135516,34003,33938,99.81
labuladong/fucking-algorithm,2020-02-19T09:01:23Z,135286,979,975,99.59
Shubhamsaboo/awesome-llm-apps,2024-04-29T05:30:25Z,131734,170,167,98.24
ripienaar/free-for-dev,2015-03-18T21:06:26Z,131389,0,0,N/A (sem issues)
krahets/hello-algo,2022-11-04T11:08:34Z,129310,291,278,95.53
excalidraw/excalidraw,2020-01-02T01:04:43Z,129221,4904,2647,53.98
Chalarangelo/30-seconds-of-code,2017-11-29T17:35:03Z,128651,300,300,100.00
garrytan/gstack,2026-03-11T21:22:45Z,127164,722,336,46.54
react/react-native,2015-01-09T18:10:16Z,126310,27753,27075,97.56
github/spec-kit,2025-08-21T22:54:31Z,125980,1461,1307,89.46
farion1231/cc-switch,2025-08-04T14:16:16Z,125929,4512,3108,68.88
Comfy-Org/ComfyUI,2023-01-17T03:15:56Z,125395,9043,5011,55.41
kubernetes/kubernetes,2014-06-06T22:56:04Z,124381,49495,47694,96.36
ggml-org/llama.cpp,2023-03-10T18:58:00Z,123207,9342,8650,92.59
electron/electron,2013-04-12T01:47:36Z,122405,21806,21072,96.63
shadcn-ui/ui,2023-01-04T12:43:27Z,120922,4222,3165,74.96
rustdesk/rustdesk,2020-09-28T15:36:08Z,119960,4290,4211,98.16
nodejs/node,2014-11-26T19:57:11Z,118841,20739,20034,96.60
justjavac/free-programming-books-zh_CN,2013-11-04T01:59:19Z,118234,0,0,N/A (sem issues)
