Repositorio,Criado Em,Estrelas,Pull Requests Aceitas
codecrafters-io/build-your-own-x,2018-05-09T12:03:18Z,539006,157
sindresorhus/awesome,2014-07-11T13:42:37Z,494849,700
public-apis/public-apis,2016-03-20T23:49:42Z,455622,2119
freeCodeCamp/freeCodeCamp,2014-12-24T17:49:19Z,453885,29071
EbookFoundation/free-programming-books,2013-10-11T06:50:37Z,394227,7417
openclaw/openclaw,2025-11-24T10:16:47Z,386054,24226
nilbuild/developer-roadmap,2017-03-15T13:45:52Z,364228,4387
donnemartin/system-design-primer,2017-02-26T16:15:28Z,363385,210
jwasham/coding-interview-university,2016-06-06T02:34:12Z,358481,415
vinta/awesome-python,2014-06-27T21:00:06Z,313559,738
awesome-selfhosted/awesome-selfhosted,2015-06-01T02:33:17Z,312194,0
practical-tutorials/project-based-learning,2017-04-12T05:07:46Z,278787,194
996icu/996.ICU,2019-03-26T07:31:14Z,276621,1071
obra/superpowers,2025-10-09T19:45:18Z,271115,165
react/react,2013-05-24T16:15:54Z,247194,13031
torvalds/linux,2011-09-04T22:48:12Z,242601,0
affaan-m/ECC,2026-01-18T00:51:51Z,239656,986
trimstray/the-book-of-secret-knowledge,2018-06-23T10:43:14Z,237964,122
NousResearch/hermes-agent,2025-07-22T22:22:28Z,229407,10341
TheAlgorithms/Python,2016-07-16T09:44:01Z,223675,3088
mattpocock/skills,2026-02-03T11:15:53Z,214722,85
vuejs/vue,2013-07-29T03:24:51Z,210232,1136
ossu/computer-science,2014-05-04T00:18:39Z,207918,315
multica-ai/andrej-karpathy-skills,2026-01-27T03:53:13Z,201800,12
n8n-io/n8n,2019-06-22T09:24:21Z,200352,19828
tensorflow/tensorflow,2015-11-07T01:19:20Z,196972,48804
anomalyco/opencode,2025-04-30T20:08:00Z,196469,7009
trekhleb/javascript-algorithms,2018-03-24T07:47:04Z,196447,309
ultraworkers/claw-code,2026-03-31T08:58:08Z,195063,141
DigitalPlatDev/FreeDomain,2024-05-30T13:23:00Z,192436,0
ohmyzsh/ohmyzsh,2009-08-28T18:15:37Z,189134,3650
microsoft/vscode,2015-09-03T20:23:38Z,188630,51742
massgravel/Microsoft-Activation-Scripts,2020-01-12T23:03:34Z,186804,7
Significant-Gravitas/AutoGPT,2023-03-16T09:21:07Z,186554,4741
jackfrued/Python-100-Days,2018-03-01T16:05:52Z,185135,13
CyC2018/CS-Notes,2018-02-13T14:56:24Z,185031,374
getify/You-Dont-Know-JS,2013-11-16T02:37:24Z,184646,370
yt-dlp/yt-dlp,2020-10-26T04:22:55Z,184050,3387
avelino/awesome-go,2014-07-06T13:42:15Z,180873,3860
flutter/flutter,2015-03-06T22:54:58Z,178355,49506
ollama/ollama,2023-06-26T19:39:32Z,178344,3507
github/gitignore,2010-11-08T20:17:14Z,175259,1779
twbs/bootstrap,2011-07-29T21:19:00Z,174580,9479
microsoft/markitdown,2024-11-13T19:56:40Z,173332,183
521xueweihan/HelloGitHub,2016-05-04T06:24:11Z,170515,17
anthropics/skills,2025-09-22T15:53:31Z,168456,46
f/prompts.chat,2022-12-05T13:54:13Z,167049,237
firecrawl/firecrawl,2024-04-15T21:02:29Z,166261,1918
AUTOMATIC1111/stable-diffusion-webui,2022-08-22T14:05:26Z,164495,1875
huggingface/transformers,2018-10-29T13:56:00Z,163998,20145
jlevy/the-art-of-command-line,2015-05-20T15:11:03Z,162091,317
Snailclimb/JavaGuide,2018-05-07T13:27:00Z,157723,1268
langflow-ai/langflow,2023-02-08T22:28:03Z,153090,7217
langgenius/dify,2023-04-12T07:40:24Z,152211,13230
open-webui/open-webui,2023-10-06T22:08:27Z,148586,4025
airbnb/javascript,2012-11-01T23:13:50Z,148133,822
Genymobile/scrcpy,2017-11-21T18:00:27Z,147499,153
msitarzewski/agency-agents,2025-10-13T12:12:29Z,144326,222
langchain-ai/langchain,2022-10-17T02:58:36Z,144077,17214
x1xhlol/system-prompts-and-models-of-ai-tools,2025-03-05T16:38:29Z,142754,52
yangshun/tech-interview-handbook,2016-07-05T05:00:48Z,141798,494
vercel/next.js,2016-10-05T23:32:51Z,141740,28121
anthropics/claude-code,2025-02-22T17:41:21Z,141178,161
ytdl-org/youtube-dl,2010-10-31T14:35:07Z,140940,1646
microsoft/PowerToys,2019-05-01T17:44:02Z,137687,6972
clash-verge-rev/clash-verge-rev,2023-11-21T18:24:03Z,137366,1004
golang/go,2014-08-19T04:33:40Z,135728,1
iptv-org/iptv,2018-11-14T22:00:57Z,135709,6980
labuladong/fucking-algorithm,2020-02-19T09:01:23Z,135318,244
Shubhamsaboo/awesome-llm-apps,2024-04-29T05:30:25Z,132286,237
ripienaar/free-for-dev,2015-03-18T21:06:26Z,131550,3073
excalidraw/excalidraw,2020-01-02T01:04:43Z,129421,3959
krahets/hello-algo,2022-11-04T11:08:34Z,129374,994
Chalarangelo/30-seconds-of-code,2017-11-29T17:35:03Z,128690,855
garrytan/gstack,2026-03-11T21:22:45Z,127662,297
Comfy-Org/ComfyUI,2023-01-17T03:15:56Z,127015,3122
farion1231/cc-switch,2025-08-04T14:16:16Z,126664,438
github/spec-kit,2025-08-21T22:54:31Z,126385,1348
react/react-native,2015-01-09T18:10:16Z,126331,999
kubernetes/kubernetes,2014-06-06T22:56:04Z,124455,65645
ggml-org/llama.cpp,2023-03-10T18:58:00Z,123639,9641
electron/electron,2013-04-12T01:47:36Z,122468,26488
shadcn-ui/ui,2023-01-04T12:43:27Z,121167,1426
rustdesk/rustdesk,2020-09-28T15:36:08Z,120206,4197
nodejs/node,2014-11-26T19:57:11Z,118896,13140
justjavac/free-programming-books-zh_CN,2013-11-04T01:59:19Z,118306,300
Hack-with-Github/Awesome-Hacking,2016-03-30T15:47:10Z,118080,41
microsoft/generative-ai-for-beginners,2023-06-19T16:28:59Z,117595,601
nextlevelbuilder/ui-ux-pro-max-skill,2025-11-30T11:36:31Z,116016,137
godotengine/godot,2014-01-04T16:05:36Z,115606,43287
rust-lang/rust,2010-06-16T20:39:03Z,115458,73388
mrdoob/three.js,2010-03-23T18:58:01Z,114465,15953
2dust/v2rayN,2019-07-30T03:47:24Z,113653,593
d3/d3,2010-09-27T17:22:42Z,113448,495
jaywcjlove/awesome-mac,2016-07-17T15:33:47Z,110765,1239
immich-app/immich,2022-02-03T15:56:27Z,110287,9978
microsoft/TypeScript,2014-06-17T15:28:39Z,110161,14893
tauri-apps/tauri,2019-07-13T09:09:37Z,110148,5660
axios/axios,2014-08-18T22:30:27Z,109225,1478
browser-use/browser-use,2024-10-31T16:00:56Z,108924,1888
