trial_id,integrante,kata,tratamento,tempo_min,taxa_sucesso,passou_todos,total_testes,aprovados,reprovados,complexidade_media,loc,sloc,fonte_testes,metricas_disponiveis,status_registrado,status_divergente,tempo_censurado,tratamento_registrado,tratamento_ajustado
aulus_K01_manual_01,aulus,K01,ia,8.45,100.0,True,10.0,10.0,0.0,7.0,79.0,55.0,relatorio,True,SUCESSO,False,False,manual,True
aulus_K02_ia_01,aulus,K02,manual,6.5,100.0,True,10.0,10.0,0.0,7.666666666666667,76.0,57.0,relatorio,True,SUCESSO,False,False,ia,True
aulus_K03_manual_01,aulus,K03,ia,12.3,80.0,False,10.0,8.0,2.0,2.5,23.0,15.0,relatorio,True,SUCESSO,True,False,manual,True
aulus_K04_ia_01,aulus,K04,manual,20.0,100.0,True,,,,,,,csv,False,SUCESSO,False,False,ia,True
aulus_K05_manual_01,aulus,K05,ia,9.15,100.0,True,11.0,11.0,0.0,2.5,25.0,16.0,relatorio,True,SUCESSO,False,False,manual,True
aulus_K06_ia_01,aulus,K06,manual,19.8,100.0,True,10.0,10.0,0.0,2.6666666666666665,30.0,19.0,relatorio,True,SUCESSO,False,False,ia,True
maria_K01_ia_01,maria,K01,ia,8.45,100.0,True,10.0,10.0,0.0,4.857142857142857,86.0,61.0,relatorio,True,SUCESSO,False,False,ia,False
maria_K02_manual_01,maria,K02,manual,18.2,100.0,True,10.0,10.0,0.0,9.0,86.0,64.0,relatorio,True,SUCESSO,False,False,manual,False
maria_K03_ia_01,maria,K03,ia,6.5,100.0,True,10.0,10.0,0.0,4.0,30.0,16.0,relatorio,True,SUCESSO,False,False,ia,False
maria_K04_manual_01,maria,K04,manual,22.4,100.0,True,10.0,10.0,0.0,3.6666666666666665,44.0,27.0,relatorio,True,SUCESSO,False,False,manual,False
maria_K05_ia_01,maria,K05,ia,9.15,100.0,True,11.0,11.0,0.0,3.5,35.0,21.0,relatorio,True,SUCESSO,False,False,ia,False
maria_K06_manual_01,maria,K06,manual,19.8,100.0,True,10.0,10.0,0.0,2.6666666666666665,40.0,23.0,relatorio,True,SUCESSO,False,False,manual,False
vinicius_K01_manual_01,vinicius,K01,manual,8.45,80.0,False,10.0,8.0,2.0,4.25,60.0,51.0,relatorio,True,SUCESSO,True,False,manual,False
vinicius_K02_manual_01,vinicius,K02,manual,18.2,100.0,True,10.0,10.0,0.0,5.666666666666667,56.0,41.0,relatorio,True,SUCESSO,False,False,manual,False
vinicius_K03_ia_01,vinicius,K03,ia,6.5,80.0,False,10.0,8.0,2.0,2.5,18.0,14.0,relatorio,True,SUCESSO,True,False,ia,False
vinicius_K04_ia_01,vinicius,K04,ia,22.4,10.0,False,10.0,1.0,9.0,2.25,40.0,27.0,relatorio,True,SUCESSO,True,False,ia,False
vinicius_K05_ia_01,vinicius,K05,ia,9.15,0.0,False,11.0,0.0,11.0,4.0,13.0,10.0,relatorio,True,SUCESSO,True,False,ia,False
vinicius_K06_manual_01,vinicius,K06,manual,19.8,0.0,False,10.0,0.0,10.0,2.0,21.0,16.0,relatorio,True,SUCESSO,True,False,manual,False
